Well Name,Easting,Northing,MD,TVD,Azimuth,Inclination,Deviation-DownDip,Deviation-UpDip,Deviation-NoDip,Porosity%,Gross Thickness(ft),NTG,Sw(%),TOC %,Comp-Perforated Lateral (ft),Comp-Stimulated Lateral Length (ft),Comp-Clusters per Stage,Comp-Shot Density (shots-ft),Comp-Avg Stage Length(ft),Comp-Number of Stages,Stim-Avg. Tr. Pressure (psi),Stim-Avg. Tr. Rate (bbl-min),Stim-Fluid volume per Stage (bbl),Stim-clean volume per Stage (bbl),Stim-Slurry volume per Stage (bbl),Stim-Maximum propant Conc-(lb-gal),Stim-Proppant per stage(lb),30 Day Cum Gas (MCF),30 Day Cum Condensate (bbls),90 Day Cum Gas (MCF),90 Day Cum Condensate (bbls),120 Day Cum Gas (MCF),120 Day Cum Condensate (bbls),180 Day -Cum Gas (MCF),180 Day -Cum Condensate (bbls)
ISI-001,1681170.238,15937752.68,10383,6563.2,123.7,91.4,1,0,0,9.1,156,0.91,10,3.3,3363,3463,3,4,280.3,12,6107,70.7,22299,12509,9790,3,492337,200140,207,489665,708.24,616456,954.63,831975,1193.98
ISI-002,1680954.727,15936991.3,10980,6557.3,122.4,90.5,1,0,0,9.3,156,0.92,10,3.3,4022,4122,3,4,287.3,14,6040,71.3,22168,12439,9729,3,507210,227485,509,544380,1010.74,678884,1257.13,913560,1496.49
ISI-003,1671400.09,15914812.06,9990,6580,154.4,90.9,1,0,0,9.4,176,0.87,11.7,2.8,2903,3003,3,4,290.3,10,6441,69.5,24262,13637,10625,3,511521,108705,505,275020,1417.44,366865,1771.62,513561,2023.93
ISI-004,1672552.306,15915502.4,10180,6610.7,137.8,89.4,1,0,0,9.3,176,0.87,11.6,2.8,2603,2703,3,4,289.2,9,6605,69.4,23879,13424,10455,3,503191,91710,449,223947,1363.21,294291,1831.07,412134,2160.03
ISI-005,1673250.087,15915852.12,11060,6583.3,149.9,91.7,1,0,0,8.9,175,0.9,12,2.8,2903,3003,3,4,290.3,10,6602,69.4,24379,13710,10668,3,504971,103792,448,250151,1363.21,331657,1779.65,475471,2141.63
ISI-006,1669567.802,15913952.21,10840,6628.6,146.3,90.4,1,0,0,9.7,176,0.9,11.1,2.6,2603,2703,3,4,289.2,9,6734,69.5,24489,13764,10725,3,503887,97508,455,233358,1406.71,295667,1765.08,403222,2038.64
ISI-007,1670552.11,15914425.39,10233,6610.2,149,91.2,1,0,0,9.5,176,0.9,11,2.7,2903,3003,3,4,290.3,10,6750,68.6,23886,13427,10459,3,504239,109131,470,261148,1421.13,329108,1765.11,451870,2027.64
ISI-008,1662534.656,15929892.21,9058,6367.5,147.1,89.8,1,0,0,8.3,130,0.93,11.3,2.2,2307,2407,3,4,288.4,8,6505,68.6,23624,13277,10347,3,503007,99460,1,243171,894.35,305335,1270.67,419017,1966.64
ISI-009,1662152.277,15929306.5,9500,6371.9,152.4,89.3,1,0,0,8.5,130,0.92,10.2,2.2,2305,2405,3,4,288.1,8,6436,68.6,23708,13326,10383,3,498797,77055,1,200817,881.84,255229,1246.5,352493,1943.31
ISI-010,1686993.115,15873779.5,11011,7552.8,131.2,89.5,1,0,0,7.7,232,0.69,12.4,2.6,2607,2707,3,4,289.7,9,5992,66.4,25271,14217,11054,3,503730,109702,0,254059,0.14,315951,0.14,434120,0.14
ISI-011,1687471.13,15874396.6,11312,7563.6,128.12,87.5,1,0,0,7.5,230,0.65,12.8,2.6,2652,2752,3.9,4,378.9,7,6593,67.7,24582,13837,10746,3,503241,93777,0,198992,0,226499,0,273351,0
ISI-012,1653283.744,15914904.01,10470,6619.7,159.01,89.63,1,0,0,10,145,0.92,11.7,2.6,3002,3102,3,4,300.2,10,5955,69.4,24273,13644,10629,3,509986,86282,1048,266377,3270.48,339700,4537.76,474564,6276.97
ISI-013,1654440.414,15915201.9,10177,6620.3,151.69,90.31,1,0,0,9.9,147,0.92,12.3,2.5,2906,3006,3,4,290.6,10,6128,68.3,24411,13726,10684,3,506961,73671,1034,214640,2456.76,284655,2938.15,397550,3529.54
ISI-014,1653887.522,15915033.5,10218,6630.8,157.9,88.5,1,0,0,10,146,0.92,11.7,2.7,2911,3011,3,4,291.1,10,6419,62.9,21829,12279,9551,3,453156,71922,998,204564,2117.51,256256,2568.7,340206,3330.35
ISI-015,1654913.701,15915292.14,10207,6624.9,156.7,90.62,1,0,0,9.9,148,0.9,12.5,2.6,2911,3011,3,4,291.1,10,5547,61.1,23736,13346,10390,3,498101,68674,944,208012,1961.38,273671,2650.54,376555,3020.82
ISI-016,1655299.487,15915540.66,10358,6615.8,155.97,88.64,1,0,0,10,148,0.89,12.8,2.8,2604,2704,3,4,260.4,10,5883,58.1,19181,10798,8383,3,421638,77035,920,209718,1883.83,262189,2651.55,344459,3483.96
ISI-017,1605007.555,15912883.28,9695,6144.7,150,89.2,1,0,0,8.8,125,0.85,11.7,2.52,2672,2772,3,4,334,8,6737,62.2,24604,13877,10727,3,446896,29001,2331,90968,7914.02,122996,9916.77,189024,13662.24
ISI-018,1650605.817,15927408.3,10427,6409.8,145.5,87.3,1,0,0,9.2,128,0.87,9.4,3.3,3211,3311,3.2,4,291.9,11,6208,67.5,24681,13885,10796,3,501903,68480,4657,174591,9568.28,224914,11585.46,325461,15160.45
ISI-019,1638764.356,15926476.01,9283,6295.2,326.8,90.9,1,0,0,10.1,122,0.88,9.9,3.9,2532,2632,3,4,316.5,8,5967,58,21948,12353,9594,3,437815,41074,420,114860,2847.76,146699,4955.66,207339,7388.86
ISI-020,1643125.309,15921839.2,9145,6323.6,123.8,89.8,1,0,0,10.5,120,0.92,9.8,3.8,2072,2172,3,4,259,8,7141,60.5,23266,13146,10120,3,386980,32479,536,94595,3052.28,121530,4323.82,173084,6380.65
ISI-021,1644046.104,15922391.18,9980,6333.7,127.7,87.1,1,0,0,10.8,122,0.94,10.3,3.5,3082,3182,3,4,385.3,8,6288,69.6,24171,13591,10580,3,513083,49204,1266,119889,4544.75,152110,5719.92,211704,8242.97
ISI-022,1640916.614,15927404.91,9062,6265.5,131.6,89.3,1,0,0,9,125,0.82,9.9,3.8,2307,2407,4.8,6,461.4,5,7164,96.4,37087,21036,16051,2,486600,32213,330,89938,1837.8,116692,3677.32,166624,7697.62
